split,rxn_idx,step_idx_forward,th_status,th_event_types,th_error,mech_smi_min,mech_smi_min_th,target_smiles_for_validation
train,11,2,added_mix,planar_to_tetrahedral,,"C1=CC2=CN=CC=C2C([NH2:1])=C1.O=[N+](O)C1=C(SC2=C(Cl)C=NC=C2Cl)SC([C:2](OC(=NC2CCCCC2)NC2CCCCC2)=[O:3])=C1|(1, 2);((2, 3), 3)","C1=CC2=CN=CC=C2C([NH2:1])=C1.O=[N+](O)C1=C(SC2=C(Cl)C=NC=C2Cl)SC([C:2](OC(=NC2CCCCC2)NC2CCCCC2)=[O:3])=C1|(1, 2);((2, 3), 3)|TH(2,'mix',())",O=[N+](O)C1=C(SC2=C(Cl)C=NC=C2Cl)SC(C([O-])(OC(NC2CCCCC2)=[N:1]C2CCCCC2)[NH+:2](C2=CC=CC3=CN=CC=C32)[H:3])=C1
train,9994,1,added_mix,planar_to_tetrahedral,,"COC(=O)[CH+:1]C.ClC1=CN=C(OC2=CC=C([OH:2])C=C2)C(Cl)=C1|(2, 1)","COC(=O)[CH+:1]C.ClC1=CN=C(OC2=CC=C([OH:2])C=C2)C(Cl)=C1|(2, 1)|TH(1,'mix',())",COC(=O)C(C)[OH+]C1=CC=C(OC2=NC=C(Cl)C=C2Cl)C=C1
train,994,0,added_mix,planar_to_tetrahedral,,"CN1N=C(C2=CC=CS2)C=C1[NH2:1].FC(F)(F)C1=CC=C([C:2](Cl)=[O:3])C=C1|(1, 2);((2, 3), 3)","CN1N=C(C2=CC=CS2)C=C1[NH2:1].FC(F)(F)C1=CC=C([C:2](Cl)=[O:3])C=C1|(1, 2);((2, 3), 3)|TH(2,'mix',())",CN1N=C(C2=CC=CS2)C=C1[NH2+][C:1](C1=CC=C(C(F)(F)F)C=C1)([O-:2])[Cl:3]
train,10007,0,added_mix,planar_to_tetrahedral,,"CC(C)(C)OC(=O)O[C:1](OC(C)(C)C)=[O:2].COC1=CC=C(CC2C3=CC(OC)=C(OC)C=C3SCC[NH:3]2)C=C1OC|(3, 1);((1, 2), 2)","CC(C)(C)OC(=O)O[C:1](OC(C)(C)C)=[O:2].COC1=CC=C(CC2C3=CC(OC)=C(OC)C=C3SCC[NH:3]2)C=C1OC|(3, 1);((1, 2), 2)|TH(1,'mix',())",COC1=CC=C(CC2C3=CC(OC)=C(OC)C=C3SCC[NH+]2[C:1](OC(C)(C)C)([O-:2])[O:3]C(=O)OC(C)(C)C)C=C1OC
train,10006,0,added_mix,planar_to_tetrahedral,,"CC[C:1](C1=NOC(COC2=CC=C(Cl)C=C2Cl)=N1)=[O:2].O[NH2:3].[H+:4]|(3, 1);((1, 2), 4)","CC[C:1](C1=NOC(COC2=CC=C(Cl)C=C2Cl)=N1)=[O:2].O[NH2:3].[H+:4]|(3, 1);((1, 2), 4)|TH(1,'mix',())",CCC(C1=NOC(COC2=CC=C(Cl)C=C2Cl)=N1)([NH+:1](O)[H:2])[OH:3]
train,10021,2,added_mix,planar_to_tetrahedral,,"CC1=NN=C(C2=CC(C3=CC=C([C:1](OC(=NC4CCCCC4)NC4CCCCC4)=[O:2])C=C3)=C(C)C=C2)O1.ClC1=CC=C(C[NH2:3])C=C1|(3, 1);((1, 2), 2)","CC1=NN=C(C2=CC(C3=CC=C([C:1](OC(=NC4CCCCC4)NC4CCCCC4)=[O:2])C=C3)=C(C)C=C2)O1.ClC1=CC=C(C[NH2:3])C=C1|(3, 1);((1, 2), 2)|TH(1,'mix',())",CC1=NN=C(C2=CC(C3=CC=C(C([O-])(OC(NC4CCCCC4)=[N:1]C4CCCCC4)[NH+:2](CC4=CC=C(Cl)C=C4)[H:3])C=C3)=C(C)C=C2)O1
train,10050,2,added_mix,planar_to_tetrahedral,,"CN(C)C1=CC=C([C:1](OC(=NC2CCCCC2)NC2CCCCC2)=[O:2])C2=C1C=CC=C2.COC1=CC=C(C2=NN(C3CC[NH:3]CC3)C(=O)C2(C)C)C=C1OC|(3, 1);((1, 2), 2)","CN(C)C1=CC=C([C:1](OC(=NC2CCCCC2)NC2CCCCC2)=[O:2])C2=C1C=CC=C2.COC1=CC=C(C2=NN(C3CC[NH:3]CC3)C(=O)C2(C)C)C=C1OC|(3, 1);((1, 2), 2)|TH(1,'mix',())",COC1=CC=C(C2=NN(C3CC[N+:1](C([O-])(OC(NC4CCCCC4)=[N:2]C4CCCCC4)C4=CC=C(N(C)C)C5=C4C=CC=C5)([H:3])CC3)C(=O)C2(C)C)C=C1OC
train,10025,0,added_mix,planar_to_tetrahedral,,"C[S:1](C)=[O:2].O=C(Cl)[C:3](Cl)=[O:4]|((1, 2), 3);((3, 4), 4)","C[S:1](C)=[O:2].O=C(Cl)[C:3](Cl)=[O:4]|((1, 2), 3);((3, 4), 4)|TH(3,'mix',())",C[S+](C)O[C:1](C(=O)Cl)([O-:2])[Cl:3]
train,10046,2,added_mix,planar_to_tetrahedral,,"C1=CC(C2([C:1](OC(=NC3CCCCC3)NC3CCCCC3)=[O:2])CCOCC2)=CC=C1OCCCN1CCOCC1.C[NH2:3]|(3, 1);((1, 2), 2)","C1=CC(C2([C:1](OC(=NC3CCCCC3)NC3CCCCC3)=[O:2])CCOCC2)=CC=C1OCCCN1CCOCC1.C[NH2:3]|(3, 1);((1, 2), 2)|TH(1,'mix',())",C[NH+:1](C([O-])(OC(NC1CCCCC1)=[N:2]C1CCCCC1)C1(C2=CC=C(OCCCN3CCOCC3)C=C2)CCOCC1)[H:3]
train,10017,1,added_mix,planar_to_tetrahedral,,"CN1CCC(C2=CC=CC=C2CC2=CC=CC=C2)([O-:1])CC1.Cl[C:2](C1=CC=CC=C1)=[O:3]|(1, 2);((2, 3), 3)","CN1CCC(C2=CC=CC=C2CC2=CC=CC=C2)([O-:1])CC1.Cl[C:2](C1=CC=CC=C1)=[O:3]|(1, 2);((2, 3), 3)|TH(2,'mix',())",CN1CCC(O[C:1](C2=CC=CC=C2)([O-:2])[Cl:3])(C2=CC=CC=C2CC2=CC=CC=C2)CC1
train,10059,2,added_mix,planar_to_tetrahedral,,"COC1=C([C:1](OC(=NC2CCCCC2)NC2CCCCC2)=[O:2])C=CC(F)=C1.O=C1C=C(C2=CC=NC=C2)N=C2C([NH2:3])COCCN12|(3, 1);((1, 2), 2)","COC1=C([C:1](OC(=NC2CCCCC2)NC2CCCCC2)=[O:2])C=CC(F)=C1.O=C1C=C(C2=CC=NC=C2)N=C2C([NH2:3])COCCN12|(3, 1);((1, 2), 2)|TH(1,'mix',())",COC1=C(C([O-])(OC(NC2CCCCC2)=[N:1]C2CCCCC2)[NH+:2](C2COCCN3C(=O)C=C(C4=CC=NC=C4)N=C23)[H:3])C=CC(F)=C1
train,10032,2,added_mix,planar_to_tetrahedral,,"ClCC[OH:1].OC1=CC([C:2](OC(=NC2CCCCC2)NC2CCCCC2)=[O:3])=CC=C1|(1, 2);((2, 3), 3)","ClCC[OH:1].OC1=CC([C:2](OC(=NC2CCCCC2)NC2CCCCC2)=[O:3])=CC=C1|(1, 2);((2, 3), 3)|TH(2,'mix',())",[O-]C(OC(NC1CCCCC1)=[N:1]C1CCCCC1)(C1=CC=CC(O)=C1)[O+:2](CCCl)[H:3]
train,10077,2,added_mix,planar_to_tetrahedral,,"COC(=O)C(P(=O)(OC)OC)[NH2:1].O=C(NCC1=CC=CC(O)=C1)C1=CC=C([C:2](OC(=NC2CCCCC2)NC2CCCCC2)=[O:3])C(Br)=C1|(1, 2);((2, 3), 3)","COC(=O)C(P(=O)(OC)OC)[NH2:1].O=C(NCC1=CC=CC(O)=C1)C1=CC=C([C:2](OC(=NC2CCCCC2)NC2CCCCC2)=[O:3])C(Br)=C1|(1, 2);((2, 3), 3)|TH(2,'mix',())",COC(=O)C(P(=O)(OC)OC)[NH+:1](C([O-])(OC(NC1CCCCC1)=[N:2]C1CCCCC1)C1=CC=C(C(=O)NCC2=CC=CC(O)=C2)C=C1Br)[H:3]
train,10031,0,added_mix,planar_to_tetrahedral,,"C[C:1](C1=CC=CN=C1)=[O:2].O[NH2:3].[H+:4]|(3, 1);((1, 2), 4)","C[C:1](C1=CC=CN=C1)=[O:2].O[NH2:3].[H+:4]|(3, 1);((1, 2), 4)|TH(1,'mix',())",CC(C1=CC=CN=C1)([NH+:1](O)[H:2])[OH:3]
